사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
(주)세븐일레븐 분당궁전점,경기도 성남시 분당구 수내동 28-5 궁전쇼핑타운  1층  105호 일부 ,"경기도 성남시 분당구 내정로173번길 5 (수내동, 궁전쇼핑타운  1층  105호 일부)",37.3743453749,127.1192827894,편의점
(주)코리아세븐 분당효자촌점,경기도 성남시 분당구 서현동 298-2 상록프라자 1층 108호 일부 ,"경기도 성남시 분당구 돌마로486번길 6, 상록프라자 1층 108호 일부호 (서현동)",37.3771046685,127.1338957878,편의점
CU 대왕판교로점,경기도 성남시 분당구 궁내동 205-3번지 궁내빌딩 ,"경기도 성남시 분당구 대왕판교로 291, 궁내빌딩 1층 일부호 (궁내동)",37.3696756,127.1012109,편의점
CU분당서울대학교병원점,"경기도 성남시 분당구 구미동 300 분당서울대학교병원, 1동 지하1층 일부 ","경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 1동 지하1층 일부호 (구미동)",37.3520167812,127.1244991912,편의점
CU수내양지점,경기도 성남시 분당구 수내동 28-2 양지프라임 1층 102호 일부 ,"경기도 성남시 분당구 내정로 167, 양지프라임 1층 102(일부)호 (수내동)",37.3738852419,127.1191495816,편의점
GS(지에스)25 분당서현로점,경기도 성남시 분당구 서현동 333-3 1층 일부 ,"경기도 성남시 분당구 서현로 377, 1(일부)층 (서현동)",37.3766269517,127.1397714423,편의점
GS25 분당금강점,경기도 성남시 분당구 구미동 213번지 무지개마을 상가동 1층 101호 일부,"경기도 성남시 분당구 미금로22번길 9 (구미동, 무지개마을 상가동 1층 101호 일부)",37.3364491,127.1179698,편의점
GS25 분당느티점,경기도 성남시 분당구 정자동 66-13번지 1층(일부) ,"경기도 성남시 분당구 느티로69번길 5, 1(일부)층 (정자동)",37.3690855069,127.1122507875,편의점
GS25 분당대덕점,경기도 성남시 분당구 금곡동 206 101호 ,"경기도 성남시 분당구 정자일로 25 (금곡동, 101호)",37.352406221,127.1056747664,편의점
GS25 분당샤르망점,경기도 성남시 분당구 금곡동 166 이코노샤르망 1층 113호 일부 ,"경기도 성남시 분당구 돌마로 47, 이코노샤르망 1층 113(일부)호 (금곡동)",37.3503741253,127.1071870881,편의점
