충전소명,소재지지번주소,소재지도로명주소,위도,경도,운영기관명,충전기타입명
LH경기지사,경기도 성남시 분당구 구미동 175,경기도 성남시 분당구 성남대로54번길 3,37.3413710362,127.1104402258,한국전력,DC차데모+AC3상+DC콤보
정자동로얄팰리스(지하2층),경기도 성남시 분당구 정자동 28-1번지 로얄팰리스 지하2층,경기도 성남시 분당구 성남대로 449,37.3754070793,127.1103885103,케이티,AC완속
한국정보통신기술협회,경기도 성남시 분당구 서현동 267-2번지 한국정보통신기술협회,경기도 성남시 분당구 분당로 47,37.3837869889,127.1205792755,케이티,AC완속
대우분당서비스,경기도 성남시 분당구 야탑동 403번지,경기도 성남시 분당구 탄천로 257,37.4148692995,127.1186596469,케이티,AC완속
분당서울대학교병원 헬스케어혁신파크,경기도 성남시 분당구 정자동 217번지 헬스케어 혁신파크 B1층 B2기둥 옆,경기도 성남시 분당구 돌마로 172,37.3543040744,127.1209761352,케이티,AC완속
호반메트로큐브오피스텔,경기도 성남시 분당구 삼평동 647번지,경기도 성남시 분당구 대왕판교로606번길 31,37.3967437229,127.110696111,케이티,AC완속
성남시 정자동 주민센터,경기도 성남시 분당구 정자동 147번지 주차장,경기도 성남시 분당구 황새울로18번길 14,37.3614484868,127.1115447735,차지비,AC완속
성남시 수내1동주민센터,경기도 성남시 분당구 수내동 30번지 주차장,경기도 성남시 분당구 내정로173번길 21,37.3756298477,127.1178870474,차지비,AC완속
분당경찰서,경기도 성남시 분당구 정자동 160번지 분당구 정자동,경기도 성남시 분당구 정자일로 165,37.3652682739,127.1054719502,에스트래픽,DC차데모+AC3상+DC콤보
기아오토큐판교점,경기도 성남시 분당구 백현동 399번지 기아오토큐 판교점 지상주차장 장애인주차구획 옆 주차면,경기도 성남시 분당구 대왕판교로385번길 18,37.3782205095,127.0999259911,에스트래픽,AC완속
성남시 평생학습원,경기도 성남시 분당구 야탑동 610번지 ( B1 진입 후 우측 ),경기도 성남시 분당구 판교로 546,37.40396828,127.13471424,에스트래픽,DC차데모+DC콤보
야탑역 제1환승공영주차장,경기도 성남시 분당구 야탑동 364-2번지 B3 진입 후 우측 위치,경기도 성남시 분당구 성남대로 920,37.4120724222,127.1291716985,에스트래픽,DC차데모+DC콤보
성남시 서현1동행정복지센터,경기도 성남시 분당구 서현동 89-1번지 주차장,경기도 성남시 분당구 중앙공원로39번길 35,37.3828579698,127.1260511237,차지비,AC완속
성남시 야탑2동행정복지센터,경기도 성남시 분당구 야탑동 508번지 옥외주차장,경기도 성남시 분당구 야탑로76번길 5,37.4094257491,127.1273767784,차지비,AC완속
성남시 이마트(분당점),경기도 성남시 분당구 정자동 211번지 본관7층 D구역,경기도 성남시 분당구 불정로 134,37.3587980632,127.1197565645,차지비,AC완속
포스코ICT 판교,경기도 성남시 분당구 삼평동 622번지,경기도 성남시 분당구 판교로 255,37.4042793774,127.1026122319,차지비,DC차데모+AC3상+DC콤보
성남시 정자2동 주민센터,경기도 성남시 분당구 정자동 118번지 주차장,경기도 성남시 분당구 내정로 66,37.3660035933,127.1152593639,차지비,AC완속
성남시 야탑3동 주민센터,경기도 성남시 분당구 야탑동 307번지 주차장,경기도 성남시 분당구 야탑로167번길 12,37.4108286456,127.1379353316,차지비,AC완속
성남시 금곡동 주민센터,경기도 성남시 분당구 금곡동 174번지 주차장,경기도 성남시 분당구 성남대로171번길 14,37.3516357408,127.1070901857,차지비,AC완속
성남시 삼평동주민센터,경기도 성남시 분당구 삼평동 712번지 주차장,경기도 성남시 분당구 동판교로266번길 7,37.4061274051,127.1163198073,차지비,AC완속
성남시 분당동주민센터,경기도 성남시 분당구 분당동 90-2번지 주차장,경기도 성남시 분당구 장안로 37,37.37024693,127.1433256518,차지비,AC완속
성남시 분당구청,경기도 성남시 분당구 수내동 1번지 주차장,경기도 성남시 분당구 분당로 50,37.3827271625,127.1189580233,차지비,AC완속
성남시 NS홈쇼핑 별관,경기도 성남시 분당구 삼평동 632번지 별관주차타워 6층 8A구역,경기도 성남시 분당구 대왕판교로645번길 36,37.400383679,127.1020904796,차지비,AC완속
성남시 백현동 주민센터,경기도 성남시 분당구 백현동 557번지 주차장,경기도 성남시 분당구 동판교로 21,37.3885236341,127.1108402894,차지비,AC완속
운중동 행정복지센터,경기도 성남시 분당구 운중동 935번지,경기도 성남시 분당구 운중로138번길 10,37.3905739853,127.0779103857,에버온,AC완속
경기성남 판교동행정복지센터,경기도 성남시 분당구 판교동 575번지 지하주차장 입구 장애인주차구역 옆,경기도 성남시 분당구 서판교로32번길 9,37.389925187,127.0986776297,에버온,AC완속
성남장애인고용공단본부,"경기도 성남시 분당구 구미동 297-1번지 1주차장(1층주차장,10번기둥옆)",경기도 성남시 분당구 구미로173번길 59,37.3484258828,127.123433174,에버온,AC완속
성남시 차량등록사업소,경기도 성남시 분당구 야탑동 135-5번지 주차장,경기도 성남시 분당구 야탑로 327,37.4072528809,127.1538847917,차지비,AC완속
