사업장명,소재지지번주소,소재지도로명주소,위도,경도
웰리스짐,"경기도 성남시 분당구 판교동 591 티에스로드1, 3층 ","경기도 성남시 분당구 운중로 253, 티에스로드1 3층 (판교동)",37.38952997,127.09119
영건핏<YOUNG GUN FIT>,경기도 성남시 분당구 서현동 254-5번지 서현프라자 203호,"경기도 성남시 분당구 서현로180번길 13, 203호 (서현동)",37.3878381,127.1228248
주식회사 카카오브이엑스,경기도 성남시 분당구 삼평동 681 에이치스퀘어 엔동 ,"경기도 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 지하1층 108~110호 (삼평동)",37.40210015,127.1086459
퍼펙트 바디휘트니스,경기도 성남시 분당구 서현동 292번지 분산상가 지하층 101~105호,"경기도 성남시 분당구 불정로 397  (서현동,분산상가 지하층 101~105호)",37.3763074,127.1374837
커브스 이매클럽,"경기도 성남시 분당구 이매동 120-3번지 청학상가 4층 404호,405호 ",경기도 성남시 분당구 양현로94번길 11 (이매동),37.39155521,127.1257142
고릴라멀티짐,경기도 성남시 분당구 서현동 251-1번지 야베스밸리 5층 ,"경기도 성남시 분당구 서현로 192 (서현동, 야베스밸리 5층)",37.38779237,127.1244225
운동센터 라인,경기도 성남시 분당구 수내동 83-3번지 돌마소매시장,"경기도 성남시 분당구 불정로 255, 돌마소매시장 301호,302호,303호,304호 (수내동)",37.3668679,127.1263474
바디센서리,경기도 성남시 분당구 삼평동 652번지 프라임스퀘어 1004호,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 10층 1004호 (삼평동)",37.3964173,127.1118841
S.G 휘트니스,"경기도 성남시 분당구 운중동 967번지 경창빌딩 901,902호 ","경기도 성남시 분당구 운중로 141 (운중동,경창빌딩 901,902호)",37.39184857,127.0789313
피트니스비엠,경기도 성남시 분당구 서현동 298-1번지 주영빌딩 지하1층,"경기도 성남시 분당구 돌마로 482, 지하1층 (서현동)",37.3772308,127.1336015
로이휘트니스,경기도 성남시 분당구 정자동 169-1번지 삼성아데나팰리스아파트 206호,"경기도 성남시 분당구 성남대로 275, 206호 (정자동, 삼성아데나팰리스아파트)",37.3607862,127.107498
건강한 퍼스널트레이닝센터,경기도 성남시 분당구 정자동 23-1 지.파크프라자 ,"경기도 성남시 분당구 정자일로 192, 지.파크프라자 3층 304호 (정자동)",37.36738025,127.1062966
팀윤짐,"경기도 성남시 분당구 야탑동 361-5번지 대덕프라자 501, 502호","경기도 성남시 분당구 성남대로926번길 6, 501,502호 (야탑동, 대덕프라자)",37.4122211,127.1297992
비엠,경기도 성남시 분당구 서현동 312-2번지 굿모닝프라자 401호,"경기도 성남시 분당구 분당로263번길 35, 401호 (서현동, 굿모닝프라자)",37.3716736,127.1397107
런던 피트니스&필라테스 이매점,경기도 성남시 분당구 이매동 106-5 5층 ,"경기도 성남시 분당구 성남대로779번길 13 (이매동,5층)",37.39892324,127.1269091
A-TOP FITNESS CLUB,경기도 성남시 분당구 수내동 7-1번지 대덕글로리 지하1층,"경기도 성남시 분당구 수내로46번길 11 (수내동, 대덕글로리 지하1층)",37.3799781,127.1169072
스포짐,경기도 성남시 분당구 삼평동 682번지 유스페이스2  B118호 일부,"경기도 성남시 분당구 대왕판교로 670, B118호(일부)호 (삼평동, 유스페이스2)",37.4021073,127.1067535
UP TO,"경기도 성남시 분당구 백현동 551번지 자유퍼스트프라자1 602호일부,603,604,605호 ","경기도 성남시 분당구 동판교로 59, 자유퍼스트프라자1 602호일부,603,604,605호 (백현동)",37.38836834,127.1150568
어반피트,"경기도 성남시 분당구 운중동 944 마크시티그린 601, 602호 ","경기도 성남시 분당구 운중로 128, 601,602호 (운중동, 마크시티그린)",37.39131112,127.0773527
주식회사 씨에이치캐롤리나,경기도 성남시 분당구 정자동 159-1번지 백궁프라자1 701~706호 ,"경기도 성남시 분당구 성남대로331번길 13, 701~706호 (정자동, 백궁프라자1)",37.36533751,127.10624
