사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
(주)영진크린플,경기도 성남시 분당구 야탑동 50-1번지 1층 ,"경기도 성남시 분당구 새나리로 17 (야탑동, 1층 )",37.4044482,127.1577058,일반세탁업
건영세탁소,경기도 성남시 분당구 이매동 132번지 근린상가 2층 204호 ,"경기도 성남시 분당구 판교로 430 (이매동, 근린상가 2층 204호)",37.4037243,127.1213819,일반세탁업
경남세탁,경기도 성남시 분당구 야탑동 525번지 탑마을경남아너스빌 ,"경기도 성남시 분당구 판교로 519, 탑마을상가동 105호 (야탑동, 탑마을경남아너스빌)",37.4072273,127.1318464,일반세탁업
계룡세탁소,경기도 성남시 분당구 금곡동 177번지 청솔마을분산상가 106호 ,"경기도 성남시 분당구 성남대로171번길 8 (금곡동,청솔마을분산상가 106호)",37.3519203,127.1074067,일반세탁업
고운빛세탁소,경기도 성남시 분당구 야탑동 518-3번지 탑마을근린상가202호 ,"경기도 성남시 분당구 매화로 14 (야탑동,탑마을근린상가202호)",37.4086663,127.1342095,일반세탁업
광명세탁소,경기도 성남시 분당구 대장동 319-2번지 외 1 필지 1층 일부 ,"경기도 성남시 분당구 두밀로 290 (대장동, 외 1 필지 1층 일부)",37.360256,127.0678545,일반세탁업
구미세탁,경기도 성남시 분당구 구미동 77번지 까치마을1단지대우아파트 ,"경기도 성남시 분당구 미금로 184, 상가동 115호 (구미동, 까치마을1단지대우아파트)",37.3497104886,127.1164603154,일반세탁업
궁내세탁소,경기도 성남시 분당구 궁내동 322-2 1층 ,"경기도 성남시 분당구 궁내로22번길 15 (궁내동,1층)",37.3707923163,127.099683092,일반세탁업
그린어스크리닝,경기도 성남시 분당구 서현동 255-1 분당풍림아이원플러스오피스텔 316호 ,"경기도 성남시 분당구 서현로 170 (서현동, 분당풍림아이원플러스오피스텔 316호)",37.3889401776,127.122552825,일반세탁업
금탑컴퓨터세탁,경기도 성남시 분당구 야탑동 277-6번지 지상1층 ,"경기도 성남시 분당구 벌말로49번길 6 (야탑동,지상1층)",37.4124466,127.1377404,일반세탁업
금호세탁소,경기도 성남시 분당구 수내동 34 양지마을상가동101 ,"경기도 성남시 분당구 수내로 74 (수내동,양지마을상가동101)",37.3776140554,127.1182497166,일반세탁업
까치세탁소,경기도 성남시 분당구 구미동 63번지 까치마을근린상가동 1층 104호 ,"경기도 성남시 분당구 미금일로 58 (구미동,까치마을근린상가동 1층 104호)",37.3468152712,127.1133020902,일반세탁업
낙생세탁,경기도 성남시 분당구 운중동 988번지 산운마을상가동 1층 103호 ,"경기도 성남시 분당구 산운로 121 (운중동, 산운마을상가동 1층 103호)",37.3937518,127.0744784,일반세탁업
남민우세탁소,경기도 성남시 분당구 정자동 57-6번지 ,경기도 성남시 분당구 느티로77번길 20 (정자동),37.3701155,127.1133023,일반세탁업
다이아몬드 크리닝,경기도 성남시 분당구 서현동 328-11번지 ,"경기도 성남시 분당구 서현로371번길 5, 1층 (서현동)",37.3772242,127.1394047,일반세탁업
대림명품세탁,경기도 성남시 분당구 정자동 168-1번지 대림아크로텔 119호 ,"경기도 성남시 분당구 성남대로 295 (정자동, 대림아크로텔 119호)",37.3624261,127.1074889,일반세탁업
대림세탁소,경기도 성남시 분당구 구미동 211번지 무지개마을단지상가2층304호 ,"경기도 성남시 분당구 미금로 23 (구미동,무지개마을단지상가2층304호)",37.3350898,127.1167152,일반세탁업
대림세탁소,경기도 성남시 분당구 수내동 51번지 파크타운분산상가동1층7호 ,"경기도 성남시 분당구 내정로 186 (수내동,파크타운분산상가동1층7호)",37.3738644,127.1218203,일반세탁업
대명세탁소,"경기도 성남시 분당구 수내동 29번지 양지마을 주상복합상가603 ,119-3호 ","경기도 성남시 분당구 내정로173번길 11 (수내동, 양지마을 주상복합상가603 ,119-3호)",37.3746967,127.1184121,일반세탁업
대우명품크리닝,경기도 성남시 분당구 백현동 542번지 판교푸르지오그랑블 203동 1층 203호 ,"경기도 성남시 분당구 동판교로 123 (백현동, 판교푸르지오그랑블 203동 1층 203호)",37.3931712,127.1145219,일반세탁업
대원세탁소,"경기도 성남시 분당구 금곡동 141번지 청솔마을 137,138 ","경기도 성남시 분당구 미금로 215 (금곡동,청솔마을 137,138)",37.3512036,127.1128796,일반세탁업
대한민국세탁1번가,경기도 성남시 분당구 운중동 947번지 청호델피노 105 ,"경기도 성남시 분당구 운중로 120 (운중동, 청호델피노 105)",37.391309,127.0763054,일반세탁업
동남세탁소,경기도 성남시 분당구 정자동 43-10번지 1층 일부 ,"경기도 성남시 분당구 내정로119번길 22 (정자동,1층 일부)",37.3722505,127.1136328,일반세탁업
동부세탁소,경기도 성남시 분당구 야탑동 331번지 분산상가105호 ,"경기도 성남시 분당구 장미로 55 (야탑동,분산상가105호)",37.4153861,127.1274662,일반세탁업
동성세탁,경기도 성남시 분당구 분당동 35번지 샛별마을상가동 106호 ,"경기도 성남시 분당구 분당로 212 (분당동,샛별마을상가동 106호)",37.3720877,127.132012,일반세탁업
동신세탁소,"경기도 성남시 분당구 이매동 110번지 이매촌분산상가203,204,205,206호 ","경기도 성남시 분당구 양현로166번길 20 (이매동,이매촌분산상가203,204,205,206호)",37.398033,127.127189,일반세탁업
