시군명,인허가일자,사업장명,인허가취소일자,통합영업상태명,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지시설전화번호,소재지면적,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,위생업태명,건물지상층수,건물지하층수,사용시작지상층수,사용끝지상층수,사용시작지하층수,사용끝지하층수,한실수,양실수,욕실수,발한실여부,의자수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
가평군,20100127,119세탁소,,영업/정상,영업,,,,,031 581 7119,130.00,"경기도 가평군 가평읍 가화로 146, 1층","경기도 가평군 가평읍 읍내리 267-3번지 , 1층 ",12412,37.8324301,127.5120743,일반세탁업,245017.229061592    ,481226.542170276    ,일반세탁업,1,0,1,1,,,0,0,0,N,0,,,,임대,2,,,1,0,N
가평군,20060321,가평 운동화빨래방,,폐업,폐업,20080421,,,,031 5818292,25.84,경기도 가평군 가평읍 보납로6번길 15 (읍내리),경기도 가평군 가평읍 읍내리 489-1번지 ,12418,37.8298193,127.5116361,일반세탁업,244979.463711947    ,480935.787859226    ,일반세탁업,3,,1,1,,,,,,N,,,,,임대,,,,,,N
가평군,19940325,가평빨래방,,폐업,폐업,20181205,,,,031 5811188,31.32,경기도 가평군 가평읍 오리나무길 31,경기도 가평군 가평읍 대곡리 164-1번지 ,12420,37.8246554,127.5140767,일반세탁업,245197.174825396    ,480364.304650058    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,20010725,뉴세탁나라,,영업/정상,영업,,,,,031 5853117,43.20,경기도 가평군 조종면 연인산로 20-5,경기도 가평군 조종면 현리 253-3번지 ,12437,37.8218966979,127.3517000679,빨래방업,230902.264941251    ,479993.016957666    ,빨래방업,,,,1,,,,,,N,,,,,,,,,,,N
가평군,20160304,더라운드리(The Laundry),,영업/정상,영업,,,,,031 580 3351,157.51,경기도 가평군 설악면 유명로 1007-90,경기도 가평군 설악면 방일리 715번지 외 19필지 ,12472,37.6264489,127.4835018,일반세탁업,242267.012860969    ,458305.019719165    ,일반세탁업,0,0,0,0,1,1,0,0,0,N,0,,,,,7,0,0,1,0,N
가평군,19870509,만백사,,폐업,폐업,20200214,,,,031 582 7500,14.40,경기도 가평군 가평읍 보납로 22,경기도 가평군 가평읍 읍내리 467-4번지 ,12418,37.8307330136,127.5128578079,일반세탁업,245084.808580906    ,481040.652561191    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19930201,미광세탁소,,영업/정상,영업,,,,,031582 4115,49.54,경기도 가평군 가평읍 굴다리길 11,경기도 가평군 가평읍 대곡리 240-1번지 ,12420,37.8258468,127.5135738,일반세탁업,245152.401645465    ,480497.207012433    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19920917,미진사,,폐업,폐업,20191030,,,,031 584 8490,35.05,경기도 가평군 청평면 청평중앙로72번길 23,경기도 가평군 청평면 청평리 357-18번지 ,12452,37.7375516392,127.4230596495,일반세탁업,237226.611218928    ,470658.234094634    ,일반세탁업,3,,1,1,,,,,,N,,,,,,,,,,,N
가평군,19870919,미진사 1,,폐업,폐업,20090302,,,,,30.74,경기도 가평군 청평면 잠곡로 15 (청평리),경기도 가평군 청평면 청평리 413-14번지 ,12452,37.7369666,127.4203449,일반세탁업,236986.289300211    ,470589.465040366    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19920907,믿음사세탁소,,영업/정상,영업,,,,,031 5844656,31.99,경기도 가평군 청평면 시장중앙로 4,경기도 가평군 청평면 청평리 438-19번지 ,12453,37.7357743,127.4160954,일반세탁업,236613.382467535    ,470456.877753153    ,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
