시군명,사업장명,인허가일자,영업상태명,폐업일자,병상수(개),의료기관종별명,의료인수(명),입원실수(개),진료과목내용,연면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,가평사랑정형외과의원,20170911,운영중,,0,,2,0,"외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 가정의학과",268,경기도 가평군 가평읍 정간내로 1,경기도 가평군 가평읍 읍내리 445번지,12412,37.8316538775,127.5130231062
가평군,천병철내과의원,20120511,운영중,,0,,1,0,"비뇨기과, 피부과, 이비인후과, 소아청소년과, 내과",166.05,"경기도 가평군 가평읍 가화로 118, 1층",경기도 가평군  읍내리 473번지 1호 (1층),477805,37.8302116880,127.5137614944
가평군,건유의원,20161212,운영중,,20,,5,5,"내과, 외과, 정형외과, 신경외과, 성형외과, 이비인후과, 피부과, 비뇨기과, 가정의학과",1185.76,경기도 가평군 가평읍 가화로 47 (가평성심의원),경기도 가평군 가평읍 대곡리 189번지 3호,12420,37.8241005460,127.5154988650
가평군,지명관내과의원,20090306,운영중,,0,,1,0,"이비인후과, 소아청소년과, 내과",165,경기도 가평군 청평면 청평중앙로 57,경기도 가평군 청평면 청평리 465번지 18호,477815,37.7385121751,127.4205976299
가평군,소중한사람들 의원,20180730,운영중,,0,,1,0,"내과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 방사선종양학과",151.4,경기도 가평군 청평면 큰갈월로 226,경기도 가평군 청평면 대성리 220번지,12457,37.7322812626,127.3845834107
가평군,상천신경과의원,20111031,운영중,,6,,1,3,"정형외과, 마취통증의학과, 내과, 신경과",957.48,경기도 가평군 청평면 경춘로 1401,경기도 가평군 청평면 상천리 295번지,477814,37.7763703255,127.4614368495
가평군,현리중앙의원,19981226,운영중,,0,,2,0,"안과, 진단검사의학과, 영상의학과, 비뇨기과, 피부과, 이비인후과, 산부인과, 소아청소년과, 내과, 정형외과",135,경기도 가평군 조종면 현창로38번길 3 (현리중앙의원),경기도 가평군 조종면 현리 265번지 12호,12437,37.8185872363,127.3485113822
가평군,홍인의원,19940204,운영중,,24,,3,7,"재활의학과, 비뇨기과, 피부과, 정형외과, 소아청소년과, 외과, 내과",997,경기도 가평군 청평면 청평중앙로 37-2,경기도 가평군 청평면 청평리 470번지 31호,477815,37.7375825843,127.4188053951
가평군,가평삼성의원,20030407,운영중,,0,,1,0,"내과, 외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨기과, 가정의학과",145.08,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615-5번지,12413,37.8326546257,127.5100913461
가평군,한림의원,20040924,운영중,,0,,2,0,"영상의학과, 비뇨의학과, 피부과, 소아청소년과, 내과, 외과, 정형외과",536.25,경기도 가평군 가평읍 석봉로 218,경기도 가평군 가평읍 읍내리 635번지,477805,37.8343671671,127.5095915477
