시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원,,,
성남시,웰리스짐,20180814,,13,영업중,,8016-6603,,13477,"경기도 성남시 분당구 운중로 253, 티에스로드1 3층 (판교동)","경기도 성남시 분당구 판교동 591 티에스로드1, 3층 ",13477,37.38952997,127.09119,,208006.8956,431944.5696,체력단련장업,사립,,,,,
성남시,영건핏<YOUNG GUN FIT>,20171120,,13,영업중,,,,13590,"경기도 성남시 분당구 서현로180번길 13, 203호 (서현동)",경기도 성남시 분당구 서현동 254-5번지 서현프라자 203호,13590,37.3878381,127.1228248,,210810.4177,431765.2661,체력단련장업,사립,,,,,
성남시,주식회사 카카오브이엑스,20180816,,13,영업중,,070-7931-1524,,13494,"경기도 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 지하1층 108~110호 (삼평동)",경기도 성남시 분당구 삼평동 681 에이치스퀘어 엔동 ,13494,37.40210015,127.1086459,,209549.8328,433334.9311,체력단련장업,사립,,,,,
성남시,퍼펙트 바디휘트니스,20110610,,13,영업중,,031-707-6788,,,"경기도 성남시 분당구 불정로 397  (서현동,분산상가 지하층 101~105호)",경기도 성남시 분당구 서현동 292번지 분산상가 지하층 101~105호,463766,37.3763074,127.1374837,,212112.8404,430489.0293,체력단련장업,사립,,,,,
성남시,커브스 이매클럽,20120111,,13,영업중,,031-709-1030,,13568,경기도 성남시 분당구 양현로94번길 11 (이매동),"경기도 성남시 분당구 이매동 120-3번지 청학상가 4층 404호,405호 ",463830,37.39155521,127.1257142,,211065.06,432173.61,체력단련장업,사립,,,,,
성남시,고릴라멀티짐,20121115,,13,영업중,,317090880,,13590,"경기도 성남시 분당구 서현로 192 (서현동, 야베스밸리 5층)",경기도 성남시 분당구 서현동 251-1번지 야베스밸리 5층 ,463824,37.38779237,127.1244225,,210949.964,431751.4984,체력단련장업,사립,,,,,
성남시,운동센터 라인,20111018,,13,영업중,,,,13600,"경기도 성남시 분당구 불정로 255, 돌마소매시장 301호,302호,303호,304호 (수내동)",경기도 성남시 분당구 수내동 83-3번지 돌마소매시장,13600,37.3668679,127.1263474,,211126.3221,429438.1448,체력단련장업,사립,,,,,
성남시,바디센서리,20180411,,13,영업중,,,,13524,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 10층 1004호 (삼평동)",경기도 성남시 분당구 삼평동 652번지 프라임스퀘어 1004호,13524,37.3964173,127.1118841,,209841.6687,432715.1286,체력단련장업,사립,,,,,
성남시,S.G 휘트니스,20101104,,13,영업중,,031-707-0888,,,"경기도 성남시 분당구 운중로 141 (운중동,경창빌딩 901,902호)","경기도 성남시 분당구 운중동 967번지 경창빌딩 901,902호 ",463440,37.39184857,127.0789313,,206920.1,432200.515,체력단련장업,사립,,,,,
성남시,피트니스비엠,20101109,,13,영업중,,031-703-5266,,13586,"경기도 성남시 분당구 돌마로 482, 지하1층 (서현동)",경기도 성남시 분당구 서현동 298-1번지 주영빌딩 지하1층,463818,37.3772308,127.1336015,,211767.6692,430588.7456,체력단련장업,사립,,,,,
